875	831	5	4
609	892	5	4
1779	1593	5	2
609	971	5	4
1183	837	5	0
1579	1591	5	0
1779	2222	5	3
609	820	5	0
609	280	5	4
1183	837	5	0
1420	38	5	2
1579	287	5	0
875	1670	5	1
1183	947	5	0
1579	706	5	0
268	1901	5	2
1619	1227	5	4
1386	113	5	1
1391	462	5	3
1903	1950	5	4
155	1468	5	2
268	1906	5	2
1619	708	5	3
391	692	5	0
155	1970	5	0
366	81	5	3
1391	606	5	3
2012	1237	5	2
391	80	5	3
1903	1958	5	3
281	1371	5	3
1619	217	5	4
1386	1816	5	0
1391	2104	5	3
391	1946	5	4
1903	111	5	2
281	587	5	4
1937	79	5	1
1619	1364	5	3
1386	2195	5	0
391	1959	5	0
391	1856	5	4
155	1363	5	0
377	1090	5	2
1595	1638	5	4
1248	888	5	2
2230	873	5	4
2262	1772	5	2
884	215	5	1
385	878	5	2
1595	818	5	0
1248	846	5	0
2230	2220	5	2
479	878	5	2
2262	2220	5	2
2101	1382	5	0
1078	34	5	3
385	1332	5	0
1595	1747	5	3
2230	1371	5	3
193	104	5	0
2262	209	5	0
33	2226	5	3
274	901	5	0
274	2087	5	0
385	1795	5	3
385	2050	5	0
1248	2154	5	0
2101	213	5	0
884	1237	5	2
274	569	5	1
1078	1849	5	3
385	2183	5	2
1595	1893	5	4
479	114	5	2
479	1237	5	2
2262	272	5	2
884	1820	5	2
33	224	5	2
385	72	5	2
787	1872	5	1
787	288	5	0
787	721	5	3
1020	1724	5	2
1674	349	5	1
139	2077	5	4
1004	1605	5	0
1223	1903	5	0
1580	1250	5	2
624	1106	5	1
501	1593	5	2
859	467	5	2
1005	2053	5	4
1674	1022	5	0
1549	1963	5	0
1580	1393	5	0
1832	503	5	2
19	186	5	2
1362	845	5	0
1496	1824	5	0
1201	2107	5	0
1020	92	5	3
1674	391	5	0
1598	1620	5	2
1549	1361	5	0
506	2176	5	3
1580	1847	5	0
1832	1647	5	2
1652	2176	5	3
1362	1632	5	0
1496	1045	5	0
501	885	5	2
1551	1477	5	3
1375	579	5	2
859	1320	5	2
1005	2057	5	1
1020	92	5	2
1004	1721	5	0
1223	364	5	0
513	1387	5	2
624	1593	5	2
19	99	5	4
1362	1827	5	0
1496	1347	5	0
1093	1064	5	2
501	1620	5	2
1551	818	5	0
1375	581	5	2
1201	1791	5	0
1674	1312	5	0
1598	2005	5	2
139	205	5	4
1004	1176	5	0
1832	1170	5	2
1362	1670	5	0
1496	469	5	0
1093	1176	5	2
501	1711	5	2
980	1559	5	0
2352	101	5	0
1005	2047	5	4
1201	1744	5	0
1172	437	5	4
2241	101	5	1
2241	237	5	1
