875	831	5
609	892	5
1779	1593	5
609	971	5
1183	837	5
1579	1591	5
1779	2222	5
609	820	5
609	280	5
1183	837	5
1420	38	5
1579	287	5
875	1670	5
1183	947	5
1579	706	5
268	1901	5
1619	1227	5
1386	113	5
1391	462	5
1903	1950	5
155	1468	5
268	1906	5
1619	708	5
391	692	5
155	1970	5
366	81	5
1391	606	5
2012	1237	5
391	80	5
1903	1958	5
281	1371	5
1619	217	5
1386	1816	5
1391	2104	5
391	1946	5
1903	111	5
281	587	5
1937	79	5
1619	1364	5
1386	2195	5
391	1959	5
391	1856	5
155	1363	5
377	1090	5
1595	1638	5
1248	888	5
2230	873	5
2262	1772	5
884	215	5
385	878	5
1595	818	5
1248	846	5
2230	2220	5
479	878	5
2262	2220	5
2101	1382	5
1078	34	5
385	1332	5
1595	1747	5
2230	1371	5
193	104	5
2262	209	5
33	2226	5
274	901	5
274	2087	5
385	1795	5
385	2050	5
1248	2154	5
2101	213	5
884	1237	5
274	569	5
1078	1849	5
385	2183	5
1595	1893	5
479	114	5
479	1237	5
2262	272	5
884	1820	5
33	224	5
385	72	5
787	1872	5
787	288	5
787	721	5
1020	1724	5
1674	349	5
139	2077	5
1004	1605	5
1223	1903	5
1580	1250	5
624	1106	5
501	1593	5
859	467	5
1005	2053	5
1674	1022	5
1549	1963	5
1580	1393	5
1832	503	5
19	186	5
1362	845	5
1496	1824	5
1201	2107	5
1020	92	5
1674	391	5
1598	1620	5
1549	1361	5
506	2176	5
1580	1847	5
1832	1647	5
1652	2176	5
1362	1632	5
1496	1045	5
501	885	5
1551	1477	5
1375	579	5
859	1320	5
1005	2057	5
1020	92	5
1004	1721	5
1223	364	5
513	1387	5
624	1593	5
19	99	5
1362	1827	5
1496	1347	5
1093	1064	5
501	1620	5
1551	818	5
1375	581	5
1201	1791	5
1674	1312	5
1598	2005	5
139	205	5
1004	1176	5
1832	1170	5
1362	1670	5
1496	469	5
1093	1176	5
501	1711	5
980	1559	5
2352	101	5
1005	2047	5
1201	1744	5
1172	437	5
2241	101	5
2241	237	5
629	155	5
380	937	5
2133	98	5
525	1576	5
116	1234	5
146	892	5
1256	387	5
2344	1816	5
1300	893	5
1356	770	5
1377	1670	5
1002	1829	5
2318	1369	5
758	791	5
799	79	5
1906	280	5
1644	1574	5
712	1659	5
712	3	5
168	2016	5
1608	2050	5
1627	1810	5
1925	1856	5
1925	1318	5
525	1529	5
340	1864	5
116	1721	5
1256	1549	5
2344	387	5
1683	570	5
1356	354	5
269	954	5
996	1016	5
1128	2039	5
1343	1542	5
1962	1164	5
978	741	5
978	1202	5
1974	1492	5
937	693	5
937	631	5
474	796	5
714	1597	5
254	1300	5
799	2073	5
963	1562	5
168	693	5
1381	1558	5
1608	517	5
343	217	5
1627	1642	5
258	1477	5
2294	1102	5
1925	931	5
380	368	5
212	1711	5
525	1308	5
1605	760	5
146	1514	5
1256	1968	5
1683	1275	5
1377	1820	5
269	997	5
996	828	5
1914	1587	5
1343	1103	5
1002	892	5
978	446	5
2318	1429	5
937	2045	5
937	1726	5
474	1406	5
474	1873	5
758	693	5
254	2005	5
799	443	5
712	2005	5
712	983	5
168	1553	5
1381	1558	5
2106	1471	5
273	1789	5
2116	224	5
1038	982	5
170	442	5
1495	1667	5
2294	693	5
1925	1214	5
1925	2052	5
629	1211	5
804	1015	5
2133	657	5
525	1544	5
1605	104	5
146	389	5
1256	2005	5
2344	207	5
1300	1608	5
1356	892	5
1377	1817	5
269	1581	5
996	2028	5
1343	378	5
1002	1562	5
1962	1396	5
1525	4	5
978	2214	5
937	2097	5
474	478	5
758	1552	5
714	2014	5
799	698	5
712	1176	5
1374	1137	5
168	274	5
1381	1144	5
2106	2218	5
273	1963	5
170	1107	5
1495	1580	5
340	969	5
1332	2040	5
1300	2013	5
1914	1323	5
1128	820	5
1002	1554	5
1525	346	5
978	393	5
978	1637	5
2318	1646	5
937	2044	5
937	1622	5
474	101	5
474	1599	5
714	1300	5
799	1505	5
963	2177	5
521	283	5
1644	325	5
712	1251	5
712	1726	5
2106	2056	5
343	82	5
273	1308	5
258	1593	5
1146	1636	5
1038	1330	5
1495	1593	5
764	837	5
764	498	5
2009	272	5
2009	1344	5
764	936	5
764	795	5
2009	944	5
2009	1845	5
764	538	5
2350	922	5
2350	1364	5
2350	1176	5
2350	240	5
2350	478	5
2350	1311	5
2350	579	5
2350	312	5
2350	818	5
2350	241	5
1812	1767	5
592	1312	5
238	1229	5
1033	1335	5
1033	291	5
1677	1001	5
1136	3	5
498	791	5
748	947	5
1	1641	5
1246	1700	5
1940	1817	5
2232	1599	5
1249	1037	5
667	366	5
698	1663	5
1519	857	5
2138	2155	5
957	971	5
1260	1619	5
789	1499	5
2288	1963	5
2206	1462	5
1380	413	5
488	1597	5
1760	1211	5
660	1491	5
1431	1091	5
671	1563	5
1365	1260	5
2073	1778	5
2267	1211	5
942	267	5
786	932	5
1845	977	5
590	1769	5
1327	2057	5
438	2038	5
189	484	5
1620	1646	5
2105	770	5
1516	1079	5
1447	1471	5
194	1731	5
589	2170	5
186	1726	5
1355	299	5
1470	250	5
371	1048	5
1099	1762	5
62	1647	5
38	1279	5
2109	2178	5
944	1963	5
1309	517	5
919	217	5
383	269	5
1292	984	5
2175	1183	5
754	1588	5
883	708	5
203	188	5
1072	1667	5
1055	1194	5
2235	641	5
308	2036	5
200	477	5
1870	1448	5
358	1382	5
213	371	5
1345	2077	5
51	333	5
2266	218	5
856	1491	5
2003	344	5
368	769	5
1221	1552	5
1357	134	5
1357	2046	5
499	1807	5
1268	1634	5
2183	821	5
934	1403	5
1389	288	5
1149	590	5
109	2194	5
109	2097	5
2123	1647	5
2141	81	5
1971	473	5
1455	1825	5
126	1666	5
332	908	5
1200	910	5
657	2145	5
1512	1392	5
1408	296	5
1169	1364	5
958	1633	5
958	1347	5
1017	1178	5
112	1647	5
539	2008	5
1252	1037	5
645	1597	5
2348	1491	5
451	158	5
415	1667	5
1464	795	5
1042	2104	5
2000	419	5
1074	1027	5
572	1845	5
1410	1740	5
507	1975	5
556	1014	5
938	253	5
2149	1214	5
1227	1795	5
2338	517	5
224	136	5
224	1716	5
1762	1858	5
1559	218	5
59	769	5
15	1086	5
1812	1792	5
592	1364	5
14	1042	5
238	1335	5
1830	1766	5
1033	4	5
1672	132	5
2046	1291	5
498	1796	5
1063	1641	5
599	1064	5
2369	217	5
543	1932	5
1642	80	5
1338	807	5
1940	1846	5
2232	1342	5
698	1721	5
698	258	5
2212	1814	5
789	220	5
2288	892	5
858	1737	5
1655	1642	5
1442	224	5
1902	331	5
2206	773	5
1380	1816	5
2166	2239	5
488	1438	5
660	1641	5
1431	2147	5
1365	1321	5
2073	1251	5
2220	1714	5
942	1144	5
341	1844	5
697	770	5
384	1242	5
590	1769	5
1585	1394	5
1327	790	5
1911	1388	5
80	343	5
1599	442	5
2218	1394	5
1349	1734	5
1540	1313	5
1516	735	5
20	878	5
206	1802	5
206	916	5
1447	111	5
2001	1552	5
1713	1319	5
589	258	5
1584	1251	5
1500	1863	5
1355	1514	5
371	268	5
1069	410	5
62	1721	5
847	1515	5
944	1268	5
1309	791	5
919	977	5
419	683	5
1887	1216	5
1417	1499	5
1292	1106	5
754	1631	5
167	968	5
977	971	5
287	1666	5
176	2157	5
728	1636	5
839	1758	5
716	581	5
263	958	5
308	2224	5
1426	1641	5
723	1311	5
140	983	5
1122	1876	5
2131	226	5
1277	497	5
1277	1493	5
856	1531	5
2146	792	5
1221	297	5
175	822	5
229	1170	5
2199	4	5
499	250	5
1415	211	5
389	2242	5
1268	1554	5
1012	1147	5
1740	982	5
1646	1667	5
934	267	5
1328	1560	5
774	342	5
1678	565	5
1145	1593	5
1949	1335	5
1452	1272	5
9	2005	5
1484	1343	5
1203	1491	5
1868	770	5
527	1642	5
31	1634	5
1731	1312	5
1731	841	5
651	1164	5
651	1434	5
651	1749	5
1200	2052	5
657	1328	5
2279	1996	5
1633	1824	5
347	1272	5
2056	838	5
2353	2248	5
1169	660	5
539	1747	5
1634	930	5
1252	1776	5
724	1670	5
825	1176	5
1179	986	5
1308	434	5
1699	1376	5
645	1593	5
2348	1726	5
356	1317	5
562	769	5
690	2086	5
415	1593	5
700	581	5
1042	1499	5
572	944	5
1410	820	5
623	2102	5
507	1969	5
556	1086	5
2317	1183	5
1967	2104	5
152	495	5
1269	227	5
2338	1092	5
761	1144	5
1762	590	5
1559	995	5
970	1364	5
998	1711	5
15	572	5
1812	542	5
295	1035	5
592	1518	5
1830	1585	5
1689	1328	5
1033	1764	5
1033	1721	5
1677	1762	5
1063	1721	5
599	2206	5
2369	1394	5
543	1720	5
1897	1710	5
2036	2054	5
1432	1684	5
1400	1748	5
1246	1065	5
326	1635	5
1249	1659	5
667	1763	5
698	1816	5
2212	462	5
519	243	5
2138	621	5
957	1622	5
858	931	5
1655	650	5
1902	1906	5
1380	1959	5
671	238	5
1365	1992	5
2267	845	5
786	235	5
341	1774	5
1845	1841	5
922	111	5
1327	1576	5
297	208	5
878	2058	5
1911	355	5
1429	1762	5
1599	68	5
2218	1283	5
313	203	5
189	1149	5
1658	64	5
1620	1832	5
2105	1318	5
1516	1126	5
20	1374	5
20	1040	5
579	1847	5
867	1659	5
207	371	5
691	1634	5
206	159	5
887	46	5
1662	1505	5
1359	1635	5
1713	1555	5
1787	1641	5
1584	132	5
1500	186	5
1355	1954	5
1099	983	5
1069	1642	5
38	1091	5
944	1952	5
919	551	5
1773	186	5
1417	1325	5
383	238	5
754	769	5
883	1642	5
977	1488	5
203	1068	5
1448	1810	5
928	1176	5
408	228	5
1072	1622	5
728	1683	5
333	1144	5
21	1394	5
346	298	5
1055	186	5
200	494	5
1426	770	5
723	387	5
