1	9	2	12	19	21
2	1	52	9	306	319
3	19	4	12	23	9
4	19	12	9	3	1
5	191	16	284	298	71
6	325	121	103	104	105
7	24	14	25	11	22
8	17	184	209	172	280
9	12	19	1	4	2
10	247	184	209	172	34
11	14	24	25	7	16
12	19	4	9	3	1
13	325	121	103	104	105
14	24	7	11	25	81
15	325	121	103	104	105
16	5	20	11	298	282
17	8	21	22	19	4
18	257	232	183	56	153
19	4	12	9	3	1
20	16	11	8	17	4
21	22	17	1	18	4
22	21	17	7	1	8
23	3	4	19	12	112
24	7	14	25	11	81
25	24	7	11	14	108
26	325	121	103	104	105
27	44	69	12	4	11
28	325	121	103	104	105
29	325	121	103	104	105
30	32	318	62	38	140
31	160	39	313	265	220
32	30	160	39	220	313
33	87	236	116	277	47
34	247	172	265	219	209
35	157	298	108	47	310
36	154	259	236	153	292
37	252	264	121	310	285
38	72	55	270	60	32
39	265	160	247	219	34
40	325	121	103	104	105
41	325	121	103	104	105
42	127	149	137	62	167
43	215	221	176	160	219
44	27	131	291	303	104
45	272	65	268	161	114
46	325	121	103	104	105
47	116	298	108	228	206
48	204	251	303	188	89
49	109	244	115	138	227
50	52	184	225	209	172
51	325	121	103	104	105
52	306	319	50	316	2
53	80	219	240	99	265
54	162	232	197	194	216
55	38	72	300	197	147
56	183	197	232	162	214
57	113	79	107	71	124
58	103	257	183	56	232
59	325	121	103	104	105
60	265	39	247	160	219
61	325	121	103	104	105
62	77	322	167	270	121
63	220	309	290	226	312
64	247	265	34	219	39
65	148	245	45	114	95
66	246	322	39	77	121
67	214	263	201	197	204
68	74	64	45	117	169
69	5	71	27	298	292
70	265	106	39	247	160
71	298	287	263	284	5
72	38	55	270	242	181
73	226	191	133	239	207
74	68	136	64	63	70
75	325	121	103	104	105
76	301	81	114	95	300
77	167	62	138	289	244
78	227	239	241	238	166
79	113	57	118	324	71
80	219	240	209	172	247
81	76	14	11	24	7
82	152	241	257	138	181
83	163	279	224	216	91
84	54	108	154	69	23
85	88	43	5	142	298
86	90	322	115	109	49
87	142	33	301	95	120
88	85	106	126	129	142
89	150	204	251	303	188
90	137	232	56	183	162
91	300	273	147	299	279
92	194	138	203	241	199
93	266	209	240	184	106
94	325	121	103	104	105
95	114	148	245	65	102
96	128	48	266	281	288
97	242	225	233	223	234
98	171	275	83	208	39
99	301	265	39	278	307
100	178	181	225	289	78
101	268	45	272	221	307
102	262	162	272	177	135
103	58	34	164	172	38
104	158	229	131	287	303
105	325	121	103	104	105
106	240	93	219	209	185
107	194	232	257	203	162
108	260	298	251	282	157
109	49	115	244	77	91
110	170	245	324	148	221
111	151	169	204	251	303
112	197	232	235	286	183
113	79	57	71	130	124
114	277	178	223	95	65
115	109	49	244	77	154
116	47	228	239	277	260
117	186	131	118	68	324
118	166	130	227	79	152
119	257	232	56	183	153
120	64	70	301	142	87
121	295	264	252	37	310
122	302	93	209	172	184
123	80	160	50	265	219
124	113	79	129	57	156
125	325	121	103	104	105
126	199	203	302	216	243
127	42	137	73	111	107
128	96	65	233	114	95
129	95	124	146	88	62
130	238	239	206	226	73
131	186	291	303	104	117
132	204	251	303	316	48
133	226	220	309	73	238
134	325	121	103	104	105
135	199	102	203	138	237
136	152	176	166	281	227
137	127	90	257	232	183
138	241	262	177	194	237
139	325	121	103	104	105
140	267	205	181	227	194
141	239	227	148	245	241
142	87	219	185	209	208
143	325	121	103	104	105
144	325	121	103	104	105
145	316	319	204	263	306
146	169	150	160	39	80
147	300	273	208	280	301
148	245	215	221	233	205
149	42	100	132	62	115
150	220	89	297	226	146
151	111	78	127	3	81
152	241	227	166	82	281
153	232	56	183	257	197
154	36	115	109	49	244
155	325	121	103	104	105
156	257	232	56	183	153
157	228	221	239	298	170
158	104	115	301	208	39
159	160	39	265	220	313
160	265	39	176	198	64
161	268	45	221	272	233
162	232	197	194	54	216
163	83	114	95	54	205
164	152	166	176	281	227
165	325	121	103	104	105
166	227	176	152	281	241
167	289	277	116	236	77
168	325	121	103	104	105
169	146	150	111	53	68
170	324	110	304	221	268
171	148	245	221	268	233
172	209	184	247	219	34
173	325	121	103	104	105
174	290	185	235	279	224
175	325	121	103	104	105
176	281	227	166	196	160
177	262	232	289	257	284
178	114	277	289	223	267
179	282	233	262	114	264
180	255	179	99	145	249
181	194	203	257	267	241
182	23	12	14	24	25
183	56	197	232	162	214
184	209	172	280	247	185
185	209	174	184	172	290
186	131	117	118	65	33
187	325	121	103	104	105
188	204	251	303	48	316
189	325	121	103	104	105
190	325	121	103	104	105
191	73	194	241	239	262
192	325	121	103	104	105
193	160	39	313	220	265
194	203	181	232	162	257
195	325	121	103	104	105
196	281	176	228	295	264
197	232	183	56	162	285
198	247	280	265	209	184
199	224	203	235	243	216
200	325	121	103	104	105
201	214	263	56	183	286
202	184	135	209	255	280
203	194	216	181	243	162
204	303	316	251	291	319
205	267	243	203	194	148
206	238	130	207	264	239
207	73	206	226	238	259
208	300	147	273	280	209
209	184	172	185	280	247
210	325	121	103	104	105
211	325	121	103	104	105
212	325	121	103	104	105
213	325	121	103	104	105
214	183	56	197	204	299
215	245	148	221	233	110
216	243	235	203	162	224
217	325	121	103	104	105
218	325	121	103	104	105
219	240	80	247	209	172
220	226	133	150	160	312
221	215	148	245	110	233
222	291	214	263	204	82
223	260	234	114	242	233
224	243	279	199	216	288
225	242	289	50	234	97
226	133	220	73	309	259
227	166	176	241	78	152
228	157	116	196	260	221
229	287	303	204	301	297
230	325	121	103	104	105
231	325	121	103	104	105
232	162	197	194	183	56
233	245	148	215	242	268
234	223	260	242	278	225
235	174	216	243	290	224
236	256	289	167	277	238
237	138	248	241	135	178
238	206	239	130	308	78
239	116	78	238	130	73
240	219	209	247	184	80
241	227	194	152	138	181
242	225	97	233	223	234
243	216	248	235	224	203
244	309	49	73	191	112
245	148	215	221	233	205
246	66	115	322	90	154
247	280	265	209	184	198
248	243	224	203	267	266
249	251	204	303	188	316
250	325	121	103	104	105
251	316	204	303	315	108
252	264	121	310	37	295
253	325	121	103	104	105
254	325	121	103	104	105
255	184	209	280	208	172
256	306	236	292	319	289
257	232	194	181	203	162
258	325	121	103	104	105
259	226	207	174	235	133
260	223	234	228	242	116
261	325	121	103	104	105
262	177	284	138	102	233
263	319	284	306	316	282
264	310	121	295	252	196
265	39	247	160	34	219
266	288	224	281	93	240
267	205	243	248	203	194
268	233	45	161	272	221
269	185	174	209	290	235
270	198	280	209	184	185
271	223	260	221	215	278
272	45	276	65	223	114
273	300	147	208	280	301
274	325	121	103	104	105
275	280	247	265	198	39
276	272	284	45	262	102
277	114	178	289	116	167
278	234	223	99	272	260
279	290	174	224	299	243
280	247	209	184	185	198
281	176	196	266	227	166
282	284	263	310	179	108
283	83	150	106	269	163
284	282	263	262	177	276
285	197	232	162	286	183
286	197	232	183	56	285
287	298	229	303	291	71
288	266	224	203	248	205
289	277	225	177	167	178
290	174	279	185	235	299
291	303	204	287	297	298
292	298	256	263	71	236
293	325	121	103	104	105
294	233	242	245	148	268
295	121	315	264	196	39
296	215	148	245	219	178
297	303	198	204	251	291
298	287	292	71	157	108
299	290	279	235	174	91
300	147	273	208	280	301
301	208	300	273	147	99
302	224	243	216	209	172
303	204	297	291	251	287
304	324	170	110	45	161
305	325	121	103	104	105
306	319	52	316	263	256
307	221	268	275	45	161
308	238	239	116	78	228
309	133	226	73	244	191
310	264	282	252	37	206
311	52	50	319	306	199
312	226	133	220	63	73
313	160	39	265	220	295
314	325	121	103	104	105
315	295	251	50	265	316
316	204	251	319	306	52
317	325	121	103	104	105
318	181	242	225	233	97
319	306	52	316	263	145
320	325	121	103	104	105
321	325	121	103	104	105
322	93	39	62	184	247
323	325	121	103	104	105
324	170	304	110	268	45
325	325	121	103	104	105
